Geneid	control_1	control_2	control_3	treatment_1	treatment_2	treatment_3
AT1G64355	45	52	18	30	24	8
AT1G04820	4666	3182	879	5302	2349	496
AT1G71866	0	0	0	0	0	0
AT1G33050	1492	1572	660	1428	777	179
AT1G77810	131	145	39	308	174	50
AT1G16210	575	495	207	1168	494	118
AT1G34580	3	3	0	0	1	0
AT1G02050	101	80	28	113	44	8
AT1G66500	36	46	16	203	122	24
AT1G04030	177	203	82	258	115	36
AT1G32480	0	0	0	0	0	0
AT1G29370	433	366	127	511	289	50
AT1G18880	1185	1051	388	1512	776	169
AT1G50740	196	218	56	796	517	139
AT1G02580	15	15	1	47	12	6
AT1G58220	124	108	34	159	82	17
AT1G07350	647	982	274	1520	857	123
AT1G06950	1196	1137	406	1519	735	133
AT1G19200	14	14	4	49	26	4
AT1G52140	220	234	59	467	246	42
AT1G18550	67	54	25	66	47	13
AT1G77510	1146	1171	376	2674	1289	259
AT1G52430	9	10	6	16	4	2
AT1G15950	693	674	221	1427	673	131
AT1G67850	103	122	46	442	221	70
AT1G69620	1590	1215	369	2252	1088	327
AT1G49110	2	3	0	1	0	0
AT1G57860	359	336	108	724	283	61
AT1G63160	121	110	36	169	71	21
AT1G71050	1	3	0	1	1	0
AT1G28510	207	250	47	304	147	36
AT1G48240	177	192	72	227	110	19
AT1G71140	22	27	16	864	530	121
AT1G66960	2	1	1	1	2	0
AT1G36370	780	870	339	2396	830	266
AT1G58242	0	0	0	0	0	0
AT1G63370	18	8	7	23	5	3
AT1G56110	1479	1531	434	3027	1404	447
AT1G14510	649	607	200	890	456	121
AT1G19010	38	62	25	67	23	5
AT1G54250	119	139	42	171	71	18
AT1G55170	120	108	66	220	87	15
AT1G70230	189	298	71	173	92	17
AT1G52830	0	0	0	3	0	0
AT1G45015	145	127	29	29	11	4
AT1G23160	40	18	8	5	6	1
AT1G67510	173	141	57	145	58	21
AT1G08230	91	74	34	100	51	11
AT1G67780	43	34	11	46	22	6
AT1G76830	0	0	0	0	0	0
AT1G04280	990	1091	404	2026	926	205
AT1G55020	1917	2615	1064	21166	7264	1584
AT1G48970	327	321	133	524	234	47
AT1G79420	45	38	21	91	57	12
