Geneid	control_1	control_2	control_3	treatment_1	treatment_2	treatment_3
AT5G24630	89	115	47	181	78	17
AT5G59960	588	679	235	654	324	67
AT5G52230	111	119	48	172	71	15
AT5G56010	3077	4503	1162	7227	4018	729
AT5G46940	0	0	0	0	0	0
AT5G57020	926	715	248	860	402	113
AT5G41960	135	136	48	223	95	21
AT5G61560	22	21	12	135	110	15
AT5G07080	561	476	140	198	104	15
AT5G65990	76	57	24	178	86	16
AT5G17610	219	338	80	313	168	42
AT5G04240	549	534	226	775	380	80
AT5G02500	22793	22858	5585	22225	13076	2416
AT5G05180	87	81	36	143	69	20
AT5G44565	1	2	2	11	7	1
AT5G13780	806	527	154	1034	456	109
AT5G16110	4046	3419	1279	1489	895	138
AT5G53260	0	0	0	0	0	0
AT5G45310	42	47	7	16	6	0
AT5G51750	43	40	10	114	79	33
AT5G02560	111	136	30	192	75	17
AT5G42965	1	0	0	4	1	0
AT5G05310	214	201	77	237	127	15
AT5G43100	1315	1370	520	1580	733	107
AT5G67610	309	270	117	397	171	45
AT5G51970	1762	1575	483	1238	572	131
AT5G16260	314	292	124	501	253	41
AT5G55480	490	492	146	587	287	44
AT5G50230	366	396	126	514	214	53
AT5G54870	750	768	264	1473	698	144
AT5G48050	4	4	0	7	3	1
AT5G28370	0	1	0	1	0	0
AT5G08380	162	154	61	549	243	59
AT5G39550	210	108	49	229	94	25
AT5G17890	625	719	272	1298	566	141
AT5G49215	40	49	9	73	37	6
AT5G43630	443	1001	263	795	414	69
AT5G66990	0	0	0	0	1	0
AT5G51940	249	148	63	495	267	54
AT5G08340	56	48	18	73	35	14
AT5G64610	339	338	96	432	216	49
AT5G45160	271	262	103	393	212	49
AT5G46000	0	0	0	0	0	0
AT5G62140	17	34	6	14	13	2
AT5G03820	0	0	0	0	0	0
AT5G54850	114	150	52	204	114	22
AT5G37900	0	0	0	0	0	0
AT5G52180	0	0	0	0	0	0
AT5G03730	952	925	261	1467	626	130
AT5G01010	1222	1171	363	1786	832	197
AT5G03060	2	1	0	0	0	0
AT5G17523	0	0	0	0	1	0
AT5G15740	367	504	175	472	200	43
AT5G62165	179	303	92	122	43	20
AT5G55290	297	369	84	413	155	53
AT5G23660	736	963	208	30	6	1
AT5G49450	411	535	176	254	198	57
AT5G28960	22	13	8	2	2	1
AT5G10650	319	417	140	627	251	65
AT5G05390	5	3	1	79	43	11
AT5G55130	383	384	131	608	294	64
AT5G51300	882	681	287	1291	623	104
AT5G40250	450	491	181	603	238	60
AT5G41763	24	20	3	26	7	6
AT5G22490	0	0	0	0	0	0
AT5G36670	0	0	0	1	1	0
AT5G04730	5	15	0	1	0	0
AT5G46370	2	1	0	1	0	0
AT5G39230	0	0	0	0	0	0
AT5G41870	110	86	41	114	49	9
AT5G46410	895	1073	408	1031	537	83
AT5G58310	0	0	0	1	2	0
AT5G24640	0	3	0	18	22	13
AT5G23070	100	72	36	167	72	18
AT5G36500	0	0	0	0	0	0
AT5G19400	1814	1885	609	3208	1509	343
AT5G06140	636	746	235	810	383	99
AT5G50443	18	20	5	11	2	1
AT5G18340	26	36	11	55	26	6
AT5G02250	218	207	91	265	121	26
AT5G60790	1612	1695	503	2529	1071	298
AT5G55190	1480	1114	359	2441	1120	316
AT5G50270	0	0	0	1	0	0
AT5G19920	107	82	30	179	77	18
AT5G09310	196	163	42	238	119	18
AT5G41020	284	295	142	468	262	51
AT5G16720	343	300	153	388	156	38
AT5G59560	258	260	76	372	161	40
AT5G45800	657	688	210	511	277	60
AT5G17600	108	85	21	65	45	7
AT5G03500	178	268	78	297	170	31
AT5G02995	0	0	0	0	0	0
AT5G63900	1	1	0	4	2	1
AT5G36170	254	264	91	214	76	18
AT5G06600	1673	1774	705	2947	1386	299
AT5G02650	56	51	10	62	22	7
AT5G64667	0	0	0	0	1	0
AT5G19820	2039	1815	649	2410	1215	219
AT5G60805	0	0	0	0	0	0
AT5G40880	105	151	53	257	100	30
AT5G06530	19	9	7	24	13	1
AT5G50030	0	0	0	0	0	0
AT5G07572	1	0	0	4	0	0
AT5G53150	307	304	168	356	205	34
AT5G20440	0	0	0	0	0	0
AT5G43000	0	0	0	0	0	0
AT5G15920	242	244	111	381	189	44
AT5G23570	185	110	58	379	150	30
AT5G53050	186	170	68	308	164	38
AT5G33290	374	479	179	1136	478	95
AT5G23100	149	146	63	228	96	18
AT5G03520	641	847	248	925	461	128
AT5G11360	0	0	0	4	0	0
AT5G50290	18	7	2	16	1	1
AT5G44785	163	211	60	234	103	28
AT5G57280	183	151	50	310	151	38
AT5G17340	4	3	2	3	0	0
AT5G45550	553	532	120	649	350	85
AT5G16270	926	760	287	1320	624	111
AT5G22030	446	465	161	556	281	75
AT5G45400	75	65	26	139	68	18
AT5G19175	0	0	0	0	0	0
AT5G04770	245	168	50	170	85	7
AT5G66980	1	0	0	1	1	0
AT5G46680	17	17	7	43	24	8
AT5G50345	0	0	0	0	0	0
AT5G53770	197	200	62	334	175	46
AT5G24280	37	41	12	99	32	14
AT5G64310	173	141	28	838	492	160
AT5G19875	53	72	20	267	161	37
AT5G58090	533	423	154	516	221	59
AT5G06950	260	228	76	341	183	58
AT5G52240	1905	1840	506	2541	1193	280
AT5G35970	231	308	83	314	165	31
AT5G64170	315	359	135	570	498	63
AT5G51470	53	40	12	53	19	7
AT5G25770	997	1364	408	1234	558	121
AT5G45573	0	0	0	0	0	0
AT5G38360	64	60	28	83	37	13
AT5G50210	606	522	211	1070	613	151
AT5G35840	529	566	229	685	325	78
AT5G42980	7178	8014	2182	16970	6672	1908
AT5G22145	0	0	0	0	0	0
AT5G20140	43	49	12	44	22	4
AT5G03435	1	0	1	4	1	1
AT5G15300	15	20	18	38	16	3
AT5G47930	1055	974	247	1731	863	262
AT5G30490	147	182	46	303	139	37
AT5G22670	0	0	0	0	0	0
AT5G50150	276	227	101	442	210	49
AT5G14980	0	0	0	0	0	0
AT5G36190	0	3	0	0	0	0
AT5G54035	0	0	0	0	0	0
AT5G60860	51	47	6	95	35	14
AT5G09650	720	805	217	2194	1008	272
AT5G46030	578	618	175	978	471	130
AT5G36490	0	0	0	0	0	0
AT5G47670	0	1	0	2	1	3
AT5G04070	107	109	30	110	54	8
AT5G36240	0	0	0	0	0	0
AT5G49310	1	0	0	0	0	0
AT5G08370	126	117	39	103	64	11
AT5G02720	0	0	0	0	0	0
AT5G40830	270	333	108	432	181	38
AT5G02280	74	128	30	143	70	16
AT5G23060	79	59	21	58	18	7
AT5G65560	192	165	68	267	114	31
AT5G38743	2	5	2	6	4	1
AT5G40410	9	13	2	20	9	4
AT5G45700	50	49	9	55	23	8
AT5G57660	816	491	192	554	502	56
AT5G66940	0	0	0	0	0	0
AT5G40630	52	60	21	104	35	9
AT5G16380	207	250	65	313	130	30
AT5G13900	80	90	26	103	73	21
AT5G32670	0	0	0	0	0	0
AT5G02710	43	44	12	35	15	8
AT5G07170	0	0	0	1	0	0
AT5G30360	0	0	0	0	0	0
AT5G03455	330	528	124	560	235	59
AT5G54520	83	67	27	96	38	5
AT5G55820	139	109	49	181	87	22
AT5G44950	0	0	0	0	0	0
AT5G60820	127	119	48	205	93	25
AT5G56480	0	0	0	0	0	0
AT5G09480	650	813	220	1511	713	134
AT5G23535	240	224	54	425	194	53
AT5G65200	218	241	72	347	163	24
AT5G27410	614	553	216	419	227	58
AT5G08580	164	177	36	222	119	38
AT5G39490	1	1	0	1	0	0
AT5G24420	1	0	0	1	0	0
AT5G61800	13	15	6	42	14	8
AT5G01445	4	3	0	5	1	2
AT5G02940	41	28	12	24	9	2
AT5G12080	217	214	69	726	323	67
AT5G07010	202	178	28	820	520	105
AT5G01530	1289	624	218	553	323	58
AT5G53810	7	5	2	18	6	3
AT5G28820	0	0	0	0	0	0
AT5G19160	27	32	17	44	13	4
AT5G11430	190	212	58	275	120	36
AT5G49170	8	9	1	10	4	1
AT5G09225	112	187	36	155	81	28
AT5G08765	0	1	0	0	0	0
AT5G07805	0	0	0	0	0	0
AT5G03485	3	2	0	2	0	0
AT5G03525	0	0	0	0	0	0
AT5G07115	0	1	0	0	1	0
AT5G02425	16	30	9	34	5	1
AT5G02485	1	2	0	0	0	0
AT5G06455	0	0	0	0	0	0
AT5G09825	0	0	0	0	0	0
AT5G06635	0	0	0	0	0	0
AT5G00790	4	8	0	5	5	0
AT5G03515	4	4	1	3	4	0
AT5G07865	0	0	0	0	0	0
AT5G06875	0	0	0	1	0	0
AT5G07995	0	2	1	16	8	1
AT5G01045	0	8	0	4	0	0
AT5G08585	0	0	0	0	0	0
AT5G05235	0	1	0	0	0	0
AT5G05445	1	2	0	0	1	0
AT5G08165	0	0	0	0	0	0
AT5G03935	0	0	0	0	0	0
AT5G07445	0	0	0	0	0	0
AT5G02015	0	0	0	0	0	0
AT5G08975	0	1	0	1	0	0
AT5G05875	0	0	0	0	0	0
AT5G04715	0	0	0	0	0	0
AT5G00985	3	1	0	10	4	0
AT5G04205	3	4	2	3	2	0
AT5G00795	0	0	0	0	0	0
AT5G04865	1	0	0	0	0	0
AT5G08945	0	0	0	0	0	0
AT5G08665	0	0	0	0	0	0
AT5G05415	2	1	0	2	1	0
AT5G06735	0	0	0	0	0	0
AT5G00975	0	0	0	0	0	0
AT5G06495	0	0	0	0	0	0
AT5G06065	0	0	0	2	1	0
AT5G03215	0	0	0	0	0	0
AT5G09835	0	0	0	0	0	0
AT5G08485	0	0	0	0	0	0
AT5G08895	0	0	0	0	0	0
AT5G00940	0	0	0	0	0	0
AT5G04785	0	2	0	0	0	0
AT5G08265	0	1	0	0	0	0
AT5G05135	1	4	1	1	0	0
AT5G07555	2	0	0	1	0	0
AT5G06285	0	0	0	0	0	0
AT5G01575	0	0	0	0	0	0
AT5G02205	0	0	1	0	0	0
AT5G03615	3	1	2	0	0	0
AT5G07935	0	0	0	0	0	0
AT5G01855	0	0	0	0	0	0
AT5G06925	0	0	0	0	0	0
AT5G06785	0	0	0	0	0	0
AT5G00835	0	0	1	0	0	0
AT5G08455	0	0	0	0	0	0
AT5G01705	0	0	0	0	0	0
AT5G08955	0	0	0	0	0	0
AT5G04575	0	0	0	0	0	0
AT5G03915	0	0	0	0	0	0
AT5G08465	0	0	0	0	0	0
AT5G02765	0	0	0	0	0	0
AT5G03785	0	0	0	0	0	0
AT5G03275	0	0	0	0	0	0
AT5G04025	0	0	0	0	0	0
AT5G04595	0	0	0	0	0	0
AT5G07795	0	0	0	0	0	0
AT5G07845	0	0	0	0	0	0
AT5G09695	0	0	0	0	0	0
AT5G04325	0	0	0	0	0	0
AT5G06715	0	0	0	1	0	0
AT5G03645	0	0	0	0	0	0
AT5G06035	0	0	0	0	0	0
AT5G03565	0	0	0	0	0	0
AT5G07635	0	0	0	0	0	0
AT5G06345	0	0	0	0	0	0
AT5G03405	0	0	0	0	0	0
AT5G05625	0	0	0	0	0	0
AT5G03335	0	0	0	0	0	0
AT5G01395	0	0	0	0	0	0
AT5G07715	0	0	0	0	0	0
AT5G09190	5	8	1	8	6	1
AT5G01605	0	0	0	0	0	0
AT5G05605	0	0	0	0	0	0
AT5G01655	0	0	0	0	0	0
AT5G05065	0	0	0	0	0	0
AT5G06945	0	0	0	0	0	0
AT5G05835	0	0	0	0	0	0
AT5G09965	0	0	0	0	0	0
AT5G02075	2	0	1	0	0	0
AT5G04245	0	0	0	0	0	0
AT5G09205	0	0	0	0	0	0
AT5G04725	0	0	0	0	0	0
AT5G08385	0	0	0	0	0	0
AT5G05045	0	0	0	0	0	0
AT5G09465	0	0	1	0	0	1
AT5G04165	0	0	0	0	0	0
AT5G04815	0	0	0	0	0	0
AT5G00970	0	0	0	0	0	0
AT5G03465	0	0	0	0	0	0
AT5G09955	0	0	0	0	0	0
AT5G06405	0	0	0	0	0	0
AT5G01065	0	0	0	0	0	0
AT5G05545	5	8	2	4	2	0
AT5G01275	0	0	0	0	0	0
AT5G03395	0	0	0	0	0	0
AT5G01285	0	0	0	0	0	0
AT5G07905	0	0	0	0	0	0
AT5G03815	0	0	0	0	0	0
AT5G06545	0	0	0	0	0	0
AT5G07605	0	0	0	0	0	0
AT5G05925	0	0	0	0	0	0
AT5G04385	0	0	0	0	0	0
AT5G05335	0	0	0	0	0	0
AT5G07035	1	1	1	5	2	0
AT5G02865	1	0	0	0	0	0
AT5G08935	0	0	0	0	0	0
AT5G08065	0	0	0	0	0	0
AT5G01475	0	0	0	0	0	0
AT5G09455	0	0	0	0	0	0
AT5G06045	0	0	0	1	0	0
AT5G01155	0	0	0	0	0	0
AT5G09415	0	0	0	5	1	0
AT5G09425	0	0	0	0	0	0
AT5G00810	0	0	0	0	0	0
AT5G04855	0	0	0	0	0	0
AT5G05905	0	0	0	0	0	0
AT5G02835	0	0	0	0	0	0
AT5G07395	0	1	0	0	0	0
AT5G00845	0	0	0	0	0	0
AT5G08815	0	0	0	0	0	0
AT5G08735	0	0	0	0	0	0
AT5G05015	0	0	0	0	0	0
AT5G09675	5	1	5	19	5	3
AT5G06475	0	1	2	2	0	2
AT5G03075	0	0	0	0	0	0
AT5G05825	0	0	0	0	0	0
AT5G05855	0	0	0	0	0	0
AT5G04635	0	0	0	0	0	0
AT5G03325	0	0	0	0	0	0
AT5G07465	0	0	0	1	0	0
AT5G05805	1	1	0	0	1	0
AT5G04435	0	0	0	0	0	0
AT5G03095	0	0	0	0	0	0
AT5G05935	0	0	0	0	0	0
AT5G09895	0	0	0	0	0	0
AT5G07695	0	0	0	0	0	0
AT5G06595	0	0	0	0	0	0
AT5G07565	0	0	0	0	0	0
AT5G10965	64	77	29	46	21	1
AT5G02965	0	0	0	0	0	0
AT5G08645	0	0	0	0	0	0
AT5G05425	0	1	0	0	0	0
AT5G06855	0	0	0	0	0	0
AT5G01405	0	0	0	0	0	0
AT5G08445	0	0	0	0	0	0
AT5G05195	0	0	0	0	0	0
AT5G03845	0	0	0	0	0	0
AT5G03035	0	1	0	0	0	0
AT5G08855	2	1	1	3	5	0
AT5G07925	0	0	0	0	0	0
AT5G04225	0	0	0	0	0	0
AT5G08195	0	0	0	0	0	0
AT5G07195	0	0	0	0	0	0
AT5G04825	0	0	0	0	0	0
AT5G07705	1	0	0	2	0	0
AT5G06015	0	0	0	0	0	0
AT5G07495	0	0	0	0	0	0
AT5G02885	1	4	0	3	1	0
AT5G03055	0	0	0	0	0	0
AT5G02045	0	0	0	0	0	0
AT5G05555	0	0	0	0	0	0
AT5G06325	0	0	0	0	0	0
AT5G03595	0	0	0	0	0	0
AT5G08775	0	0	0	0	0	0
AT5G05755	0	0	0	0	0	0
AT5G04695	0	0	0	0	0	0
AT5G05275	2	1	0	0	0	0
AT5G01885	0	0	0	0	0	0
AT5G09775	0	0	0	0	0	0
AT5G01995	0	0	0	0	0	0
AT5G08655	0	0	0	0	0	0
AT5G09025	0	0	0	0	0	0
AT5G08970	0	0	0	0	0	0
AT5G03715	0	0	0	0	0	0
AT5G08755	0	0	0	0	0	0
AT5G02925	0	0	0	0	0	0
AT5G02805	0	0	0	0	0	0
AT5G02185	0	0	1	0	0	0
AT5G03625	0	0	0	0	0	0
AT5G04125	0	0	0	0	0	0
AT5G06885	0	0	0	1	0	0
AT5G05125	2	5	3	5	3	0
AT5G07295	0	0	0	0	0	0
AT5G06335	0	0	0	0	0	0
AT5G04615	1	0	0	0	0	0
AT5G03945	0	0	0	0	0	0
AT5G01665	0	0	0	0	0	0
AT5G05395	0	0	0	0	1	0
AT5G03685	0	0	0	0	0	0
AT5G01775	1	4	2	6	6	4
AT5G09605	0	0	0	0	0	0
AT5G01795	0	0	0	0	0	0
AT5G09235	0	0	0	0	0	0
AT5G00995	0	0	0	0	0	0
AT5G09215	0	0	0	0	0	0
AT5G09070	0	0	0	0	0	0
AT5G01385	0	0	0	0	0	0
AT5G05215	0	0	0	0	0	0
AT5G01245	1	2	2	1	1	0
AT5G03955	1	0	0	0	0	0
AT5G07915	1	0	0	0	0	0
AT5G00960	0	0	0	0	0	0
AT5G07185	0	0	0	0	0	0
AT5G05535	0	0	0	0	0	0
AT5G06795	0	0	0	0	0	0
AT5G07155	0	0	0	0	0	0
AT5G02795	2	2	0	0	0	0
AT5G08705	0	0	0	0	0	0
AT5G05325	0	0	0	0	0	0
AT5G09015	0	0	0	0	0	0
AT5G01685	0	0	0	0	0	0
AT5G06775	0	0	0	2	1	0
AT5G01485	0	0	0	0	0	0
AT5G09035	0	0	0	0	0	0
AT5G04585	0	0	0	0	0	0
AT5G07435	0	0	0	0	0	0
AT5G04445	0	0	0	0	0	0
AT5G06145	0	0	0	0	0	0
AT5G03115	0	0	0	0	0	0
AT5G04705	0	0	0	0	0	0
AT5G06425	0	0	0	0	0	0
AT5G08205	0	0	0	1	0	0
AT5G04035	0	0	0	0	0	0
AT5G09335	0	1	0	0	0	0
AT5G02345	0	0	0	0	0	0
AT5G04515	0	0	0	0	0	0
AT5G08375	0	0	0	0	0	0
AT5G06965	0	0	0	0	0	0
AT5G07615	0	0	0	0	0	0
AT5G05815	0	0	0	0	0	0
AT5G06415	0	0	0	0	0	0
AT5G08910	0	0	0	0	0	0
AT5G04675	0	0	0	0	0	0
AT5G08685	0	0	0	0	0	0
AT5G05585	0	0	0	0	0	0
AT5G04755	0	0	0	0	0	0
AT5G09875	0	0	0	0	0	0
AT5G04215	0	0	0	0	0	0
AT5G07535	0	0	0	0	0	0
AT5G05205	0	0	0	0	0	0
AT5G07485	0	0	0	0	0	0
AT5G09050	0	0	0	0	0	0
AT5G07945	0	0	0	0	0	0
AT5G04765	0	0	0	0	0	0
AT5G09110	0	0	0	0	0	0
AT5G08435	0	0	0	0	0	0
AT5G09145	0	0	0	0	0	0
AT5G01725	0	0	0	0	0	0
AT5G00955	0	0	0	0	0	0
AT5G02365	0	0	0	0	0	0
AT5G06575	0	0	0	0	0	0
AT5G03135	0	0	0	0	0	0
AT5G03695	0	0	0	0	0	0
AT5G09090	0	0	0	0	0	0
AT5G03605	0	0	0	0	0	0
AT5G08940	0	0	0	0	0	0
AT5G05455	0	0	0	0	0	0
AT5G06985	0	0	0	0	0	0
AT5G00740	0	0	0	0	0	0
AT5G08225	0	0	0	0	0	0
AT5G02775	0	0	0	0	0	0
AT5G07745	0	0	0	0	0	0
AT5G04365	0	0	0	0	0	0
AT5G01345	0	0	1	1	1	0
AT5G03765	0	0	0	0	0	0
AT5G00745	0	0	0	0	0	0
AT5G09105	0	0	0	0	0	0
AT5G04925	0	0	0	0	0	0
AT5G07835	0	0	0	0	0	0
AT5G08930	0	1	0	2	0	0
AT5G07955	0	1	0	0	0	0
AT5G06005	0	0	0	0	0	0
AT5G06025	0	0	0	0	0	0
AT5G07005	0	0	0	0	0	0
AT5G09715	0	0	0	0	0	0
AT5G02275	0	0	0	0	0	0
AT5G01105	0	0	0	0	0	0
AT5G09545	0	0	0	0	0	0
AT5G05565	0	0	0	0	0	0
AT5G03105	0	0	0	0	0	0
AT5G03925	0	1	0	0	0	0
AT5G07145	0	0	0	0	0	0
AT5G07425	0	0	0	0	0	0
AT5G08900	0	0	0	0	0	0
AT5G03155	0	0	0	0	0	0
AT5G06435	0	0	0	0	0	0
AT5G08105	1	0	0	0	0	0
AT5G07855	0	0	0	0	0	0
AT5G04775	0	0	0	0	0	0
AT5G09645	0	0	0	0	0	0
AT5G09705	0	0	0	0	0	0
AT5G00910	1	0	0	0	1	0
AT5G03025	0	0	0	0	0	0
AT5G06915	0	0	0	0	0	0
AT5G02945	0	0	0	0	0	0
AT5G01965	0	0	0	0	0	0
AT5G08015	0	0	0	0	0	0
AT5G09555	0	0	0	0	0	0
AT5G02495	0	0	0	0	0	0
AT5G06255	0	0	0	0	1	0
AT5G01415	0	0	0	0	0	0
AT5G09295	6	11	1	9	5	0
AT5G07325	0	0	0	0	0	0
AT5G01925	0	0	0	0	0	0
AT5G05255	0	0	0	0	0	0
AT5G04075	1	1	1	3	0	0
AT5G09165	0	0	0	0	0	0
AT5G00805	0	0	0	0	0	0
AT5G02935	0	0	0	0	0	0
AT5G08725	0	0	0	0	0	0
AT5G02335	0	0	0	0	0	0
AT5G02215	0	0	0	0	0	0
AT5G02645	0	0	0	1	0	0
AT5G05485	0	0	0	0	0	0
AT5G02465	0	0	0	0	0	0
AT5G03735	0	0	0	0	0	0
AT5G05105	0	0	0	0	0	0
AT5G08635	0	0	0	0	0	0
AT5G08715	0	0	0	0	0	0
AT5G08215	0	0	0	0	0	0
AT5G01825	0	0	0	0	0	0
AT5G08745	0	0	0	0	0	0
AT5G09375	0	0	0	0	0	0
AT5G07665	0	0	0	0	0	0
AT5G05895	0	0	0	0	0	0
AT5G02715	0	0	0	0	0	0
AT5G06745	0	0	0	0	0	0
AT5G06975	0	0	0	0	0	0
AT5G05155	0	0	0	0	0	0
AT5G07815	0	0	0	1	1	0
AT5G03005	0	0	0	0	0	0
AT5G05465	0	0	0	1	0	0
AT5G05845	0	0	0	0	0	0
AT5G03205	0	0	0	0	0	0
AT5G08675	0	0	0	0	0	0
AT5G02405	0	0	0	0	0	0
AT5G06085	0	0	1	0	0	0
AT5G04345	0	0	0	0	0	0
AT5G03295	0	0	0	0	0	0
AT5G00825	1	0	1	2	0	0
AT5G04135	0	0	0	0	0	0
AT5G09325	0	0	0	0	0	0
AT5G05695	0	0	0	0	0	0
AT5G06465	0	0	0	0	0	0
AT5G09100	0	0	0	0	0	0
AT5G02145	0	0	0	0	0	0
AT5G00950	0	0	0	0	0	0
AT5G03045	2	1	0	1	0	0
AT5G09635	0	0	0	0	0	0
AT5G05745	0	0	0	0	0	0
AT5G00840	0	0	0	0	0	0
AT5G06525	0	0	0	0	0	0
AT5G05495	0	0	0	0	0	0
AT5G04405	0	0	1	0	0	0
AT5G01425	0	0	0	0	0	0
AT5G02635	0	0	0	0	0	0
AT5G09045	0	0	0	1	0	0
AT5G06205	0	0	0	0	0	0
AT5G07385	0	0	0	0	0	0
AT5G07355	0	0	0	0	0	0
AT5G07205	0	0	0	0	0	0
AT5G08890	0	0	0	0	0	0
AT5G05525	0	1	0	0	0	0
AT5G05885	0	0	0	0	0	0
AT5G08915	0	0	0	0	0	0
AT5G03535	0	0	0	0	0	0
AT5G05265	0	0	0	0	0	0
AT5G06515	0	0	0	0	0	0
AT5G02395	0	0	0	1	0	0
AT5G05955	0	0	0	0	0	0
AT5G04115	0	0	0	0	0	0
AT5G09265	0	0	0	0	0	0
AT5G02265	0	0	0	0	0	0
AT5G07785	0	0	0	0	0	0
AT5G09065	0	0	0	0	0	0
AT5G07125	0	0	0	0	0	0
AT5G06880	0	0	0	0	0	0
AT5G04665	0	0	1	0	1	0
AT5G05475	0	0	0	0	0	0
AT5G07575	0	0	0	0	0	0
AT5G08605	0	1	0	0	0	0
AT5G05175	0	0	0	0	0	0
AT5G04195	0	0	0	0	0	0
AT5G09735	3	0	1	41	8	0
AT5G05705	0	0	0	0	0	0
AT5G01805	0	0	0	0	0	0
AT5G04795	0	0	0	0	0	0
AT5G08395	0	0	0	0	0	0
AT5G09915	0	0	0	0	0	0
AT5G05055	0	0	0	0	0	0
AT5G09255	0	1	0	0	0	0
AT5G06075	0	0	0	0	0	0
AT5G06995	0	0	0	0	0	0
AT5G00930	0	0	0	0	0	0
AT5G06185	0	0	0	0	0	0
AT5G09125	5	13	1	7	4	0
AT5G01565	0	0	0	0	0	0
AT5G09085	0	0	0	0	0	0
AT5G02685	0	0	0	0	0	0
AT5G08595	0	0	0	0	0	0
AT5G06585	24	11	6	99	55	6
AT5G09200	0	0	0	0	0	0
AT5G09095	0	1	0	0	0	0
AT5G03125	0	0	0	0	0	0
AT5G00935	0	0	0	0	0	0
AT5G09040	0	0	0	0	0	0
AT5G05075	0	0	0	0	0	0
AT5G02175	0	0	0	0	0	0
AT5G00855	0	0	0	0	0	0
AT5G03385	0	0	0	0	0	0
AT5G02855	0	0	0	0	0	0
AT5G02085	0	0	0	0	0	0
AT5G05515	0	0	0	0	0	0
AT5G01055	0	2	0	1	1	1
AT5G05725	0	0	0	0	0	0
AT5G02955	0	0	0	1	0	0
AT5G09885	0	0	0	0	0	0
AT5G02785	0	0	0	0	0	0
AT5G00730	0	0	0	0	0	0
AT5G09245	0	0	0	0	0	0
AT5G07255	1	0	0	0	0	0
AT5G01975	0	0	0	0	0	0
AT5G06275	0	1	0	0	0	0
AT5G09475	0	0	0	0	0	0
AT5G06935	0	0	0	0	0	0
AT5G01325	0	0	0	0	0	0
AT5G09765	2	3	1	8	4	0
AT5G09435	0	0	0	0	0	0
AT5G06365	0	0	0	0	0	0
AT5G00850	0	0	0	0	0	0
AT5G09365	0	0	0	0	0	0
AT5G08965	0	1	0	0	0	0
AT5G06705	0	0	0	0	0	0
AT5G00980	35	35	8	42	16	5
AT5G08035	0	0	0	0	0	0
AT5G04845	0	0	0	0	0	0
AT5G03015	0	0	0	0	0	0
AT5G02055	0	1	0	0	1	0
AT5G09815	0	0	0	0	0	0
AT5G03575	1	0	0	6	1	0
AT5G00735	0	0	0	0	0	0
AT5G08095	0	0	0	0	0	0
AT5G09615	0	0	0	0	0	0
AT5G06655	0	0	0	0	0	0
AT5G04685	0	0	0	0	0	0
AT5G05765	0	1	0	1	0	0
AT5G01585	0	0	0	0	0	0
AT5G09305	2	0	0	0	6	0
AT5G01115	0	0	0	0	0	0
AT5G00770	0	0	0	0	0	0
AT5G04055	8	3	5	9	1	0
AT5G03065	0	0	0	0	0	0
AT5G00775	0	0	0	0	0	0
AT5G01865	0	0	0	0	0	0
AT5G04355	9	6	0	7	4	1
AT5G03085	17	17	5	20	8	5
AT5G01465	0	0	0	0	0	0
AT5G05665	0	0	0	0	0	0
AT5G07585	0	0	0	0	0	0
AT5G09060	2	1	0	0	0	0
AT5G09055	0	0	0	0	0	0
AT5G02745	0	0	0	1	0	0
AT5G01535	0	0	0	0	0	0
AT5G06615	0	0	0	0	0	0
AT5G08905	0	0	0	0	0	0
AT5G02735	0	0	0	0	0	0
AT5G04625	0	0	0	0	0	0
AT5G07595	0	0	0	0	0	0
AT5G05685	0	0	0	0	0	0
AT5G05645	0	0	0	0	0	0
AT5G04605	0	0	0	0	0	0
AT5G03755	0	0	0	0	0	0
AT5G08045	0	0	0	0	0	0
AT5G06445	0	0	0	0	0	0
AT5G06535	0	0	0	0	0	0
AT5G02375	0	2	0	0	0	0
AT5G01455	0	0	0	0	0	0
AT5G01235	0	0	0	1	0	0
AT5G07455	1	2	0	4	1	0
AT5G08985	0	0	0	0	0	0
AT5G05095	0	0	0	0	0	0
AT5G02985	0	0	0	0	0	0
AT5G09665	0	0	0	0	0	0
AT5G04065	3	5	3	8	6	1
AT5G01985	0	0	0	0	0	0
AT5G08995	0	0	0	0	0	0
AT5G00800	0	0	0	0	0	0
AT5G04505	0	0	0	0	0	0
AT5G09505	1	0	0	0	0	0
AT5G02355	0	0	0	0	0	0
AT5G01955	0	0	0	0	0	0
AT5G08785	0	0	0	0	0	0
AT5G08085	0	0	0	0	0	0
AT5G06845	0	1	1	2	0	0
AT5G09195	1	1	0	6	1	0
AT5G01695	0	0	0	0	0	0
AT5G01875	0	0	0	0	0	0
AT5G01635	0	0	0	0	0	0
AT5G07365	0	0	0	2	0	0
AT5G06675	0	0	0	0	0	0
AT5G07825	0	0	0	0	0	0
AT5G04525	0	0	0	0	0	0
AT5G06765	0	0	0	0	0	0
AT5G08475	0	0	0	0	0	0
AT5G04495	0	1	0	0	0	1
AT5G08845	0	0	0	0	0	0
AT5G09170	0	0	0	0	0	0
AT5G04745	4	4	3	4	1	1
AT5G08615	0	0	0	0	0	0
AT5G00925	0	0	0	0	0	0
AT5G01265	0	0	1	0	0	0
AT5G03965	0	0	0	0	0	0
AT5G08875	0	2	1	4	1	0
AT5G04175	0	0	0	0	0	0
AT5G05865	0	0	0	1	0	0
AT5G09865	0	0	0	0	0	0
